basin,p_sat,temperature,gamma_s,API,Rs,Bo_psat,Bg_psat,visc_o_psat,,c_o_psat,p,Bo,Bg
DEL,3501,174,0.8357,46.66,1668,1.9056,N/A,0.18006,,2.59E-05,8227,1.7570,N/A
DEL,6415,159,0.7380,42.10,3189,N/A,N/A,N/A,,2.98E-05,5439,N/A,N/A
DEL,3265,157,0.8500,44.23,1133,1.5996,N/A,0.30600,,1.78E-05,5690,1.5451,N/A
DEL,5575,190,0.7443,51.48,8423,N/A,0.000640619,N/A,,6.18E-05,9061,N/A,0.000555994
DEL,3415,153,0.8496,45.07,1371,1.7247,N/A,0.25400,,2.06E-05,5605,1.6646,N/A
DEL,2965,156,0.8423,41.50,979,1.5277,N/A,0.38600,,1.85E-05,5578,1.4709,N/A
DEL,4215,135,0.7907,43.13,1748,1.3649,N/A,N/A,,2.21E-05,4087,1.3649,N/A
DEL,2915,132,0.8194,39.19,977,1.4987,N/A,0.44900,,1.54E-05,3962,1.4774,N/A
DEL,325,90,1.2951,42.10,224,1.1681,N/A,1.17200,,1.04E-05,1297,1.1569,N/A
DEL,2515,155,0.8695,42.65,895,1.4925,N/A,0.26800,,1.72E-05,4278,1.4564,N/A
DEL,3162,157,0.8515,42.00,1179,1.6051,N/A,0.29600,,1.79E-05,4698,1.5693,N/A
DEL,2915,157,0.8713,42.80,1064,1.5654,N/A,0.30900,,1.79E-05,6165,1.4995,N/A
DEL,3981,144,0.7720,45.60,1827,1.8857,N/A,0.18400,,3.02E-05,4554,1.8604,N/A
DEL,3765,164,0.7928,47.66,1633,1.9050,N/A,0.20900,,2.87E-05,7671,1.7716,N/A
DEL,4115,165,0.8065,44.50,1922,2.0320,N/A,0.13338,,2.63E-05,6180,1.9440,N/A
DEL,2115,142,0.9262,38.86,564,1.3082,N/A,0.59300,,1.22E-05,5968,1.2613,N/A
DEL,3365,170,0.8852,41.82,1226,1.6619,N/A,0.25700,,1.89E-05,6515,1.5886,N/A
DEL,2865,138,0.8847,39.52,848,1.4198,N/A,0.45600,,1.36E-05,5612,1.3777,N/A
DEL,2835,149,0.8945,39.23,840,1.4476,N/A,0.38700,,1.47E-05,6021,1.3940,N/A
DEL,2615,156,0.8980,40.68,743,1.3937,N/A,0.38100,,1.38E-05,6575,1.3374,N/A
DEL,2965,164,0.8634,40.47,975,1.5153,N/A,0.36800,,1.70E-05,8323,1.4247,N/A
DEL,4280,170,0.7874,46.50,2124,2.1372,N/A,0.16700,,3.75E-05,8000,1.9788,N/A
DEL,5187,161,0.7802,47.21,4972,N/A,0.000644156,N/A,,4.57E-05,6115,N/A,0.000620702
DEL,4375,167,0.8043,47.52,2645,2.3554,N/A,0.17700,,3.32E-05,11083,2.0860,N/A
DEL,5183,157,0.7474,47.57,4389,N/A,0.000641643,N/A,,4.47E-05,5715,N/A,0.000627357
DEL,4088,148,0.8016,47.60,2393,2.2131,N/A,0.14700,,3.30E-05,6177,2.1041,N/A
DEL,4329,143,0.8056,45.35,2261,2.1920,N/A,0.16600,,2.98E-05,7115,2.0700,N/A
DEL,3565,142,0.8344,44.32,1598,1.8241,N/A,0.25900,,2.11E-05,4731,1.7854,N/A
DEL,4451,151,0.8669,46.13,2689,2.4154,N/A,0.18600,,3.80E-05,6961,2.2726,N/A
DEL,3995,162,0.8460,44.89,2072,2.1620,N/A,0.15100,,2.97E-05,7154,2.0296,N/A
DEL,3955,140,0.8342,44.12,1776,1.9010,N/A,0.21300,,2.23E-05,3726,1.9010,N/A
DEL,3865,147,0.8421,43.80,1786,1.9546,N/A,0.20800,,2.41E-05,4774,1.9172,N/A
DEL,4217,146,0.8427,46.89,2247,2.1733,N/A,0.21100,,3.16E-05,6728,2.0610,N/A
DEL,4145,158,0.8278,47.32,2196,2.1799,N/A,0.18500,,3.03E-05,5823,2.0948,N/A
DEL,3465,140,0.8094,43.88,1455,1.7339,N/A,0.43400,,2.06E-05,4865,1.6922,N/A
DEL,2515,149,0.8866,40.66,761,1.4036,N/A,0.41200,,1.38E-05,5309,1.3614,N/A
DEL,2215,157,0.9165,40.62,694,1.3705,N/A,0.45300,,1.46E-05,5916,1.3181,N/A
DEL,3165,169,0.9232,43.95,1193,1.6789,N/A,0.23500,,2.05E-05,6972,1.5885,N/A
DEL,5655,165,0.7759,41.67,2539,2.2338,N/A,0.24900,,2.71E-05,6515,2.1888,N/A
DEL,3865,165,0.8078,41.31,1311,1.7010,N/A,0.36600,,2.04E-05,7215,1.6188,N/A
DEL,4820,176,0.7582,52.30,7104,5.1120,N/A,0.05100,,7.52E-05,7596,N/A,N/A
DEL,3815,149,0.8202,44.41,1583,1.8232,N/A,0.25400,,2.19E-05,5215,1.7758,N/A
DEL,3565,152,0.8240,46.69,1562,1.8396,N/A,0.29300,,2.31E-05,7315,1.7322,N/A
DEL,4271,129,0.8491,46.91,1992,1.9789,N/A,0.50400,,2.22E-05,4215,N/A,N/A
DEL,5335,189,0.7578,49.47,9490,N/A,0.000650250,N/A,,6.64E-05,7765,N/A,0.000577694
DEL,3615,143,0.8323,44.76,1537,1.7962,N/A,0.23800,,2.10E-05,5365,1.7428,N/A
DEL,3992,169,0.8375,46.98,1903,2.0244,N/A,0.18800,,2.90E-05,7108,1.9049,N/A
DEL,3865,154,0.8241,44.43,1611,1.8481,N/A,0.21000,,2.41E-05,5180,1.7997,N/A
DEL,6058,145,0.7398,48.64,7031,N/A,0.000594435,N/A,,3.88E-05,7750,N/A,0.000561653
DEL,3365,129,0.8313,38.78,1106,1.5331,N/A,0.45000,,1.60E-05,4960,1.5795,N/A
DEL,2415,137,0.8441,37.92,716,1.3903,N/A,0.56000,,1.40E-05,4815,1.3527,N/A
DEL,5435,192,0.7472,51.74,8468,N/A,0.000646550,N/A,,6.19E-05,9144,N/A,0.000553891
DEL,4535,177,0.7847,47.68,2583,2.4143,N/A,0.12500,,3.98E-05,7617,2.2368,N/A
DEL,4575,176,0.7910,48.11,2593,2.4290,N/A,0.12700,,3.78E-05,7449,2.2591,N/A
DEL,5238,180,0.7706,47.23,4009,N/A,0.000689912,N/A,,4.71E-05,7498,N/A,0.000640853
DEL,5055,182,0.7785,48.62,3941,N/A,0.000706050,N/A,,4.49E-05,7608,N/A,0.000649081
DEL,5210,195,0.7589,52.72,12039,N/A,0.000647383,N/A,,7.62E-05,9155,N/A,0.000535444
DEL,5019,182,0.7919,50.99,4249,N/A,0.000682408,N/A,,5.43E-05,7897,N/A,0.000600554
DEL,4786,184,0.7478,52.67,4371,N/A,0.000691023,N/A,,6.09E-05,8361,N/A,0.000609340
DEL,5326,182,0.7658,51.08,6618,N/A,0.000651131,N/A,,5.77E-05,8917,N/A,0.000570379
DEL,5217,186,0.7700,51.01,5073,N/A,0.000675758,N/A,,5.82E-05,8444,N/A,0.000600554
DEL,5179,203,0.7307,54.78,11050,N/A,0.000668087,N/A,,7.52E-05,9680,N/A,0.000544150
DEL,4756,157,0.7757,46.15,2644,N/A,N/A,N/A,,3.76E-05,N/A,N/A,N/A
DEL,5250,143,0.6989,44.34,1964,1.9510,N/A,0.22300,,2.46E-05,5595,1.9350,N/A
DEL,4315,165,0.7689,45.91,1928,1.9908,N/A,0.33200,,3.04E-05,6213,1.9061,N/A
DEL,2965,147,0.8509,41.15,1022,1.5426,N/A,0.33800,,1.73E-05,4253,1.5131,N/A
DEL,3170,158,0.8476,42.30,1190,1.6390,N/A,0.28500,,2.00E-05,7515,1.5440,N/A
DEL,4115,147,0.8273,45.53,1858,2.0021,N/A,0.21500,,2.46E-05,5637,1.9392,N/A
DEL,3006,156,0.8663,42.30,1235,1.6570,N/A,0.29400,,1.93E-05,7610,1.5560,N/A
DEL,1265,157,0.8246,43.65,338,1.2838,N/A,0.56600,,1.36E-05,3165,1.2577,N/A
DEL,5276,170,0.7408,51.27,8959,N/A,0.000627766,N/A,,5.85E-05,9715,N/A,0.000530986
DEL,4925,174,0.7699,48.39,4210,N/A,0.000686742,N/A,,4.91E-05,8620,N/A,0.000613968
DEL,4884,178,0.7660,49.47,5155,N/A,0.000672608,N/A,,5.55E-05,8960,N/A,0.000585408
DEL,3815,174,0.8312,48.30,1784,1.9897,N/A,0.20900,,2.88E-05,6115,1.8904,N/A
DEL,4374,174,0.7957,47.50,2615,2.4460,N/A,0.14700,,3.55E-05,6415,2.3170,N/A
DEL,4161,169,0.8164,46.20,2206,2.1476,N/A,0.17600,,3.27E-05,6365,2.0429,N/A
DEL,5490,173,0.7186,53.30,6349,N/A,0.000640299,N/A,,5.25E-05,7215,N/A,0.000594665
DEL,4633,175,0.7776,50.20,2870,2.4930,N/A,0.12300,,3.95E-05,6900,2.3388,N/A
DEL,4618,205,0.7799,47.60,3786,3.1960,N/A,0.09700,,7.03E-05,7362,2.8834,N/A
DEL,4856,165,0.8186,49.45,3878,3.0480,N/A,0.11000,,5.13E-05,7015,2.8382,N/A
DEL,5098,173,0.8107,50.63,9500,N/A,0.000618437,N/A,,6.53E-05,7215,N/A,0.000555420
DEL,4695,184,0.7411,54.68,14937,N/A,0.000674873,N/A,,9.60E-05,8057,N/A,0.000552114
DEL,3658,165,0.8119,46.80,1925,2.0636,N/A,0.17436,,2.71E-05,8330,1.8913,N/A
DEL,3515,185,0.8459,45.82,1573,1.8841,N/A,0.20000,,2.76E-05,9815,1.7033,N/A
DEL,3515,190,0.8405,45.31,1303,1.7521,N/A,0.28500,,2.47E-05,9015,1.6107,N/A
DEL,4815,171,0.8225,47.73,3198,2.7440,N/A,0.13600,,4.18E-05,8115,2.5210,N/A
DEL,7295,181,0.6853,51.15,15090,N/A,0.000558114,N/A,,4.58E-05,8634,N/A,0.000527660
DEL,4735,169,0.8086,47.84,3019,2.6801,N/A,0.13800,,4.40E-05,7619,2.4783,N/A
DEL,2237,155,0.8642,40.33,897,N/A,N/A,0.39649,,1.86E-05,5015,N/A,N/A
DEL,3315,165,0.7594,42.16,1230,N/A,N/A,0.27820,,2.34E-05,5615,N/A,N/A
DEL,4498,148,0.8867,44.80,2143,2.0311,N/A,0.18800,,2.50E-05,5695,1.9805,N/A
DEL,3365,154,0.8327,44.91,1335,1.6716,N/A,0.39200,,2.06E-05,5925,1.6064,N/A
DEL,3955,159,0.8311,46.47,1882,1.9730,N/A,0.17300,,2.73E-05,6115,1.8870,N/A
DEL,4349,148,0.8882,44.56,2038,2.0020,N/A,0.18800,,2.47E-05,6002,1.9383,N/A
DEL,3915,154,0.8401,45.09,1759,1.8998,N/A,0.36200,,2.58E-05,6002,1.8224,N/A
DEL,4133,162,0.8434,47.21,2163,2.1421,N/A,0.17400,,3.03E-05,6318,2.0386,N/A
DEL,4397,162,0.8020,47.80,2369,2.2797,N/A,0.15500,,3.30E-05,6724,2.1575,N/A
DEL,5706,190,0.7406,54.83,10965,N/A,0.00062258,N/A,,5.91E-05,8703,N/A,0.000544743
DEL,4809,177,0.7665,52.46,5720,N/A,0.000675635,N/A,,6.24E-05,7549,N/A,0.000603413
DEL,4257,165,0.8371,47.27,2453,2.3198,N/A,0.16972,,3.42E-05,7334,2.1652,N/A
DEL,4127,158,0.8259,47.86,2179,2.1411,N/A,0.21029,,2.93E-05,7426,2.0040,N/A
DEL,4503,143,0.8034,47.09,2238,2.154,N/A,0.174,,3.44E-05,4476,2.4873,N/A
DEL,4335,135,0.8499,44.46,1973,2.0062,N/A,0.263,,2.40E-05,4275,2.0123,N/A
MID,2900,159,0.8908,43.60,1315,1.6970,N/A,0.3160,,1.36E-05,4870,1.6420,N/A
MID,3585,163,0.7856,47.77,1884,1.9974,N/A,0.2286,,1.68E-05,6015,1.8920,N/A
MID,3313,157,0.8588,40.20,1077,1.5430,N/A,0.4190,,1.22E-05,4527,1.5167,N/A
MID,2551,151,0.8985,40.70,828,1.4270,N/A,0.5110,,1.18E-05,3410,1.4113,N/A
MID,2528,153,0.8790,39.30,824,1.4500,N/A,0.4890,,1.11E-05,3515,1.4324,N/A
MID,2562,153,0.8682,42.60,878,1.4550,N/A,0.4130,,1.24E-05,3635,1.4338,N/A
MID,1715,170,0.9869,38.33,461,1.2956,N/A,0.9840,,8.34E-06,4815,1.2562,N/A
MID,1615,165,0.9594,37.90,441,1.2822,N/A,0.9150,,8.84E-06,3965,1.2519,N/A
MID,3575,151,0.8336,44.70,1428,1.7120,N/A,0.3090,,1.30E-05,5518,1.6587,N/A
MID,3131,161,0.8554,43.60,1124,1.5860,N/A,0.3760,,1.23E-05,5009,1.5430,N/A
MID,2992,160,0.8722,44.40,1178,1.6620,N/A,0.3130,,1.29E-05,5050,1.6068,N/A
MID,1615,175,0.9765,37.82,440,1.2888,N/A,1.1070,,7.84E-06,5515,1.2411,N/A
MID,3629,156,0.8227,44.00,1477,1.7510,N/A,0.3140,,1.34E-05,5723,1.6914,N/A
MID,2788,159,0.8416,41.10,933,1.4880,N/A,0.4730,,1.04E-05,4765,1.4520,N/A
MID,3482,165,0.8443,44.30,1482,1.7770,N/A,0.2750,,1.37E-05,5895,1.7033,N/A
MID,2976,157,0.8497,42.20,1010,1.5230,N/A,0.3560,,1.20E-05,4420,1.4927,N/A
MID,2815,159,0.8364,42.44,872,1.4717,N/A,0.5200,,1.25E-05,4265,1.4418,N/A
MID,2365,156,0.8380,41.48,779,1.4186,N/A,0.6240,,1.14E-05,4088,1.3860,N/A
MID,2988,165,0.8754,44.00,1147,1.6490,N/A,0.3680,,1.04E-05,6566,1.5684,N/A
MID,2327,158,0.8943,41.70,734,1.4000,N/A,0.5510,,8.92E-06,4740,1.3645,N/A
MID,3842,161,0.8341,45.20,1908,1.9800,N/A,0.2420,,1.32E-05,6915,1.8717,N/A
MID,3452,175,0.8490,45.40,1446,1.7770,N/A,0.2853,,1.27E-05,6530,1.6876,N/A
MID,2775,183,0.8891,43.58,1062,1.6372,N/A,0.2950,,1.44E-05,5315,1.5641,N/A
MID,2737,180,0.8898,44.10,1028,1.5670,N/A,0.4050,,1.01E-05,6500,1.4874,N/A
MID,2665,190,0.8986,42.10,876,1.5274,N/A,0.5323,,1.26E-05,4915,1.4759,N/A
MID,2665,180,0.9139,40.20,879,1.5163,N/A,0.5262,,1.23E-05,4845,1.4688,N/A
MID,2765,175,0.9180,39.62,894,1.5156,N/A,0.5130,,1.52E-05,3360,1.5010,N/A
MID,2665,125,1.0251,37.68,819,1.4501,N/A,0.5660,,1.08E-05,3615,1.4337,N/A
MID,2865,152,0.8870,41.82,1015,1.5480,N/A,0.5530,,1.21E-05,4757,1.5068,N/A
MID,3265,155,0.9136,41.40,1317,1.7046,N/A,0.4525,,1.48E-05,4694,1.6637,N/A
MID,3165,159,0.8629,44.21,1310,1.6940,N/A,0.4237,,1.33E-05,5162,1.6414,N/A
MID,3215,155,0.9075,40.60,1256,1.6861,N/A,0.5424,,1.30E-05,5265,1.6328,N/A
MID,3259,188,0.9249,45.10,1663,1.9660,N/A,0.2425,,1.40E-05,5915,1.8589,N/A
MID,2290,147,0.9219,41.90,927,1.5015,N/A,0.4102,,1.50E-05,2870,1.4872,N/A
MID,3478,189,0.9088,45.10,1670,1.9542,N/A,0.2352,,1.58E-05,5685,1.8652,N/A
MID,2656,161,0.9255,42.83,1079,1.6055,N/A,0.3586,,1.24E-05,5064,1.5489,N/A
MID,2265,165,0.9265,37.13,656,1.3793,N/A,0.74,,1.08E-05,4015,1.3487,N/A
BAK,3280,280,0.8721,43.30,1454,2.0080,N/A,0.1390,,5.29E-05,8192,1.7800,N/A
BAK,3722,270,0.9681,44.40,2206,2.4544,N/A,0.1270,,5.24E-05,8200,2.1447,N/A
BAK,3697,270,0.9817,44.20,2185,2.6245,N/A,0.0899,,5.63E-05,8260,2.2977,N/A
BAK,3066,270,0.9710,41.80,1318,1.9114,N/A,0.1553,,3.07E-05,8100,1.7229,N/A
BAK,2944,270,0.9928,42.50,1300,1.9198,N/A,0.1363,,3.66E-05,8150,1.7065,N/A
BAK,2923,270,0.9569,42.60,1220,1.8679,N/A,0.1830,,3.58E-05,8200,1.6671,N/A
BAK,3789,270,0.9110,46.09,2716,2.8818,N/A,0.1674,,6.03E-05,6691,2.5505,N/A
BAK,2356,234,1.0500,42.50,997,1.6847,N/A,0.2320,,2.69E-05,7500,1.5471,N/A
BAK,2212,234,1.0420,41.80,847,1.5865,N/A,0.2450,,2.07E-05,7500,1.4711,N/A
BAK,3310,240,0.8490,44.70,1472,1.9327,N/A,0.1280,,3.48E-05,5500,1.8179,N/A
BAK,3067,242,0.9160,40.90,1196,1.7486,N/A,0.1760,,2.66E-05,7528,1.6074,N/A
BAK,3149,241,0.8890,42.80,1303,1.8582,N/A,0.1560,,3.34E-05,6840,1.7148,N/A
BAK,3005,242,0.9078,44.90,1291,1.8595,N/A,0.1470,,2.98E-05,6577,2.1946,N/A
BAK,3609,240,0.9968,41.40,1830,2.2356,N/A,0.1357,,4.04E-05,6815,2.0625,N/A
